4	8	0.08|7.63|1
24	21	0.16|14.23|1
16	25	0.25|15.81|1
26	23	0.37|5.13|1
4	34	0.52|16.21|1
32	21	0.53|15.77|1
24	29	0.94|17.72|1
19	8	1.1|1.67|1
12	4	1.11|5.68|1
11	23	1.18|20.02|1
10	28	1.22|4.29|1
14	31	3.4|8.12|1
31	17	4.14|9.7|1
18	5	4.18|5.06|28.1
26	33	4.6|10.91|1
6	3	6.6|33.21|1
35	30	6.8|13.67|1
1	8	6.83|25.57|1
10	18	7.68|8.28|1
33	4	8.28|8.35|1
9	14	8.43|42.82|1
14	22	9.1|14.68|1
8	18	9.17|20.47|1
32	29	9.45|21.02|1
26	30	9.54|11.45|1
4	9	9.55|31.41|15.0
5	11	9.84|14.69|99.3
27	13	11.11|13.49|1
14	26	13.58|13.62|1
12	7	14.01|26.49|1
12	32	15.15|20.1|1
14	20	16.15|23.55|1
2	10	17.62|38.35|1
15	14	18.81|23.04|1
1	14	20.65|20.95|1
