24	16	0.03|10.21|68.9
34	64	0.1|12.03|1
9	6	0.36|0.81|1
5	61	0.5|11.19|1
20	47	0.52|11.81|1
20	28	0.56|3.03|1
7	14	0.66|3.8|1
54	58	0.9|1.44|13.5
31	17	1.26|4.49|52.0
28	27	1.27|22.66|1
33	31	1.3|22.63|1
22	21	1.63|7.78|1
61	37	1.68|2.81|1
4	9	1.74|8.85|1
61	59	1.94|23.29|1
42	4	1.98|5.44|1
29	31	2.1|10.74|1
18	61	2.18|22.44|1
10	31	2.28|20.14|1
56	15	2.69|15.13|29.3
34	62	2.73|14.11|1
16	11	2.76|12.21|1
47	27	2.78|12.25|1
61	47	2.87|8.98|1
29	61	2.99|10.52|1
55	36	3.24|10.71|1
19	48	3.38|9.33|1
48	58	3.62|23.69|21.6
3	29	3.77|10.94|1
44	38	4.16|15.65|1
52	27	4.58|17.83|1
25	48	4.58|19.54|34.7
58	19	4.74|21.8|1
54	48	5.13|9.54|57.7
42	2	5.8|12.0|1
11	8	5.83|7.27|1
37	23	6.09|28.04|1
25	33	6.22|19.69|60.7
1	18	6.52|17.5|1
60	13	6.55|8.22|1
46	12	6.76|10.94|1
26	57	6.77|33.56|1
31	43	6.93|12.8|1
44	34	6.97|10.38|1
32	38	7.1|7.2|1
57	43	7.32|15.05|1
61	51	7.49|12.18|11.2
26	31	7.54|16.53|1
9	8	7.73|11.68|1
35	38	8.0|21.24|1
34	27	8.12|20.25|1
7	61	9.92|13.37|1
33	49	10.71|24.19|12.3
6	53	10.72|20.19|1
48	31	10.94|25.6|1
39	14	11.01|34.16|1
7	25	12.11|17.15|1
22	26	12.54|21.19|1
1	45	12.68|18.46|1
43	34	12.79|25.11|1
30	13	13.06|14.63|1
63	48	13.78|23.63|43.4
53	50	13.86|19.57|15.0
40	61	14.0|24.21|42.0
41	30	14.1|14.61|1
49	44	14.16|19.3|1
25	26	14.69|15.1|1
8	48	15.66|16.09|1
36	13	15.93|23.37|1
51	23	16.03|16.04|1
55	28	21.21|25.95|1
28	13	23.69|28.69|1
