15	36	0.05|27.16|1
21	34	0.79|12.51|58.8
13	31	1.09|7.44|1
18	33	1.41|1.51|1
12	27	1.44|8.58|1
35	33	1.86|3.82|1
13	3	2.35|28.33|1
24	11	2.69|15.79|1
25	33	2.94|12.03|1
34	8	2.94|16.05|1
13	12	3.2|24.07|1
7	26	4.1|15.33|1
3	10	4.66|9.84|16.5
31	5	6.47|19.32|44.6
2	15	6.5|7.72|97.4
21	37	6.78|30.71|1
1	23	7.14|22.82|31.6
28	33	7.6|24.86|1
30	24	8.15|21.08|49.6
22	21	8.66|14.92|79.6
19	32	9.03|11.92|1
13	1	9.39|12.97|1
17	14	10.15|18.86|1
1	9	11.99|12.76|67.7
10	4	13.09|21.67|1
25	34	13.77|38.99|86.2
32	17	15.92|20.26|1
36	2	17.52|23.53|1
6	29	19.57|26.2|30.7
13	15	21.19|22.2|1
16	7	22.55|29.02|1
20	29	23.61|27.24|82.7
