33	26	0.07|12.73|1
13	20	0.08|22.62|1
25	22	0.9|5.86|30.4
17	10	0.93|22.81|1
40	28	1.31|22.33|315.7
39	41	1.51|14.13|1
20	30	1.52|3.69|15.8
22	23	1.85|10.71|15.8
2	37	1.99|3.07|1
20	2	3.12|10.71|1
42	8	3.38|15.18|13.5
9	22	3.49|21.87|49.7
19	11	3.62|9.62|1
8	33	3.82|20.08|30.0
5	39	3.9|4.35|1
38	5	4.07|17.45|30.4
13	32	4.18|31.6|1
3	38	4.39|15.42|38.4
15	12	4.78|16.29|1
29	28	5.42|17.01|63.9
8	1	5.43|10.36|87.5
20	7	5.44|16.31|23.0
3	42	5.45|14.57|33.8
20	22	5.66|10.14|13.5
8	41	6.62|28.03|36.5
1	39	7.0|16.79|1
16	22	7.38|10.12|77.7
20	14	8.9|27.66|1
40	1	9.34|13.76|57.0
18	1	9.48|22.11|1
10	2	10.74|14.85|1
38	27	11.58|17.13|1
20	32	11.96|23.17|27.3
34	16	12.57|18.72|1
22	6	12.64|27.48|52.0
20	36	12.96|20.34|15.4
22	24	13.59|17.5|1
22	2	13.62|21.46|1
36	1	13.63|22.34|42.0
28	20	14.22|24.04|44.3
20	21	14.35|23.71|46.6
4	15	14.45|17.6|1
11	41	14.68|17.74|1
27	1	14.81|19.67|27.0
29	10	15.63|16.59|1
31	8	16.54|16.81|40.8
3	31	17.12|30.16|85.1
14	35	17.54|22.2|1
34	25	19.03|23.23|1
22	9	21.22|31.12|80.0
