53	105	0.0|3.91|1
21	135	0.06|7.06|18.5
66	34	0.35|13.54|1
78	134	0.48|24.06|1
104	136	0.65|12.56|79.3
10	23	0.88|11.94|31.9
104	143	0.93|13.21|16.5
10	146	0.95|5.51|34.3
92	11	1.06|16.29|1
94	95	1.07|15.6|1
63	76	1.1|16.76|1
1	14	1.11|6.13|1
107	26	1.14|4.61|1
129	109	1.24|6.59|1
68	13	1.28|5.44|1
142	107	1.36|4.05|33.1
132	137	1.36|7.16|28.9
116	148	1.54|16.5|99.3
31	38	1.62|6.1|26.6
29	22	1.67|20.82|1
37	14	1.68|17.43|1
102	107	1.69|5.02|91.5
31	85	2.0|11.53|49.6
117	129	2.02|10.35|1
107	116	2.1|7.92|147.7
131	36	2.21|3.67|1
39	120	2.22|26.21|1
64	129	2.3|6.92|1
101	124	2.37|14.09|57.4
102	35	2.44|11.49|106.6
141	41	2.46|5.21|1
92	119	2.46|11.77|1
67	144	2.79|7.6|1
48	68	2.92|4.69|1
3	13	3.07|13.66|1
91	98	3.11|4.82|1
127	3	3.12|14.87|82.4
56	127	3.18|11.44|1
72	2	3.37|13.57|1
18	5	3.49|6.15|1
43	68	3.88|7.65|1
62	64	4.28|22.1|1
109	65	4.3|4.93|11.2
103	134	4.38|13.13|67.0
119	93	4.61|13.97|14.2
21	42	4.66|20.44|62.3
140	28	4.89|20.15|149.0
75	90	4.91|12.03|14.6
112	33	5.01|10.64|131.3
10	19	5.1|16.33|72.8
98	91	5.19|20.01|1
98	50	5.27|25.92|1
122	114	5.29|8.63|1
88	68	5.49|7.84|1
94	24	5.55|12.56|1
129	138	5.67|20.46|1
37	66	5.7|7.22|31.6
80	144	5.79|10.85|1
48	43	5.81|6.32|1
40	55	5.89|12.84|1
24	31	5.9|6.65|13.1
96	25	5.99|16.0|35.0
52	46	6.18|11.55|33.9
76	120	6.27|26.51|77.4
54	65	6.3|19.73|1
23	95	6.35|12.95|1
116	85	6.38|11.47|37.3
73	66	6.41|28.28|51.1
133	114	6.43|11.07|1
137	61	6.57|12.63|36.1
58	22	6.67|16.67|1
10	66	6.68|7.14|66.6
95	123	6.74|27.85|1
139	11	6.79|14.6|1
6	10	6.87|25.84|40.4
126	104	6.93|10.97|1
145	149	6.95|18.32|184.0
138	65	7.16|11.77|1
129	65	7.22|10.79|1
31	107	7.45|9.97|81.6
113	83	7.46|30.34|1
17	100	7.6|8.7|1
79	16	7.68|11.68|1
107	72	7.81|13.98|30.4
47	123	7.85|42.24|1
103	147	7.97|35.34|1
79	97	8.17|9.92|1
70	84	8.18|16.38|1
143	77	8.41|31.31|1
33	9	8.59|14.83|47.7
89	116	8.63|9.06|28.5
57	49	8.66|10.7|1
99	119	8.73|16.72|1
95	4	8.83|18.05|1
63	39	8.98|18.36|1
8	128	9.04|11.57|27.3
31	133	9.09|12.94|28.8
42	67	9.31|11.81|32.7
59	36	9.46|19.82|1
45	32	9.48|11.99|1
12	61	9.67|10.54|1
7	86	9.82|11.24|70.4
111	25	9.9|19.16|33.9
20	84	10.89|12.32|35.4
130	44	10.99|13.64|1
118	66	10.99|25.04|13.9
51	82	11.22|19.43|1
132	101	11.53|25.27|14.2
108	27	12.42|18.44|1
136	110	13.04|19.62|1
65	30	13.22|14.19|1
81	46	13.45|22.86|1
116	139	13.52|20.58|63.9
106	69	13.53|30.09|1
82	102	13.81|13.85|59.6
74	28	13.9|33.91|140.0
87	121	14.16|14.19|1
26	2	14.84|16.36|1
125	71	15.17|16.52|85.9
115	96	15.41|26.28|27.3
124	137	15.52|22.24|1
60	52	15.56|20.59|1
31	7	15.81|20.29|33.9
5	84	16.33|19.22|30.4
128	15	16.93|17.2|30.4
101	3	17.76|19.39|64.6
130	48	21.04|22.61|34.6
13	31	21.86|28.19|1
119	148	23.49|24.59|16.5
126	133	26.31|29.23|11.9
