8	19	0.19|1.71|1
28	9	0.33|8.67|1
24	41	0.51|6.86|12.3
4	29	0.76|2.75|1
39	16	1.21|7.02|1
19	57	1.39|7.36|1
36	60	1.51|20.08|58.2
14	11	1.59|8.91|1
51	22	1.62|16.02|1
2	30	1.9|16.33|1
6	51	1.97|17.52|1
57	5	2.23|5.39|1
53	47	2.58|5.05|1
48	50	3.5|31.41|18.1
56	18	3.68|21.52|1
12	31	3.72|14.33|1
55	44	3.95|8.85|13.5
28	42	4.57|9.97|1
34	35	4.78|15.99|1
52	27	4.87|10.93|16.9
41	17	4.91|8.88|1
3	4	5.0|24.45|1
50	15	5.64|16.49|1
28	23	5.7|18.55|1
46	26	6.18|26.66|27.7
28	52	6.92|9.03|1
39	33	7.07|12.18|1
35	4	7.1|9.95|1
61	22	8.14|21.91|1
53	10	8.19|11.34|1
37	58	8.47|16.03|1
36	54	9.2|16.2|33.5
39	20	10.34|11.27|56.6
59	32	10.74|26.07|1
7	49	11.66|24.09|1
40	18	12.12|20.81|1
1	45	14.59|23.38|1
28	38	15.35|26.53|1
13	43	16.24|36.24|31.5
44	17	18.74|20.18|1
48	25	18.81|40.51|1
9	21	26.32|31.3|15.4
