17	42	0.77|11.32|1
38	3	0.87|20.58|1
39	22	0.92|13.12|1
42	13	1.19|6.43|1
12	25	1.49|4.04|1
4	43	3.97|12.1|1
13	6	3.97|27.35|1
27	38	4.03|14.52|1
40	41	5.07|13.92|1
14	19	5.26|19.67|1
8	28	5.32|9.36|1
7	31	5.4|21.76|1
10	37	5.96|8.67|1
2	45	6.32|18.02|1
11	32	6.85|21.76|1
10	34	7.12|18.79|1
17	10	7.18|12.36|1
44	36	7.33|11.49|1
35	16	8.39|14.77|1
26	20	9.25|29.62|1
15	29	9.42|11.89|1
5	21	10.31|16.03|1
41	4	10.35|35.83|1
6	35	10.97|15.86|1
18	24	12.47|29.09|1
1	23	12.77|20.11|1
45	40	13.29|16.64|1
43	10	14.48|17.96|1
9	33	18.2|22.61|1
16	27	21.04|21.94|1
11	30	21.24|25.39|1
