20	49	0.07|25.76|1
26	54	0.15|7.71|1
16	57	0.3|15.63|1
5	52	0.32|11.72|1
54	26	0.7|12.58|1
3	18	0.91|2.52|1
60	37	1.19|9.18|45.0
18	35	1.25|36.2|1
26	58	1.29|21.66|1
39	32	1.45|7.75|1
27	62	1.61|15.4|1
12	23	1.67|24.85|60.4
32	15	1.89|3.21|1
46	32	1.89|6.61|1
10	17	2.44|20.23|90.0
59	22	2.49|20.97|1
17	8	2.53|4.6|16.2
6	54	2.66|9.9|1
57	51	2.83|10.59|44.7
37	31	2.98|25.68|89.3
15	26	3.69|10.71|1
13	27	3.85|4.86|1
12	48	3.93|15.23|46.2
47	42	4.02|6.61|1
59	21	4.14|4.51|1
26	55	4.2|8.66|1
26	33	4.44|20.46|1
4	60	4.62|24.49|1
7	44	4.94|11.98|1
25	59	4.98|5.16|107.3
61	56	5.18|27.61|1
9	4	5.27|6.72|1
2	58	5.42|16.87|1
26	46	5.92|8.61|1
32	58	6.35|11.19|1
50	2	6.52|11.0|1
1	38	6.82|16.7|1
26	15	6.86|9.56|1
58	26	7.19|11.44|1
57	58	7.37|10.87|1
26	28	7.43|8.11|1
43	11	7.45|8.9|1
55	45	7.63|7.87|1
29	18	7.82|8.98|1
17	34	7.87|11.14|1
53	12	8.29|16.52|1
30	19	8.43|12.11|1
35	6	9.22|32.65|1
26	7	10.67|10.89|1
35	16	11.77|16.54|1
24	59	12.73|16.16|1
57	14	12.81|12.82|104.7
36	37	13.11|16.83|30.4
2	50	13.22|20.1|1
59	40	13.42|16.65|1
14	10	15.58|30.78|108.6
18	41	18.82|24.22|1
19	47	18.91|20.01|1
