4	2	0.08|2.8|16.2
47	57	0.16|24.62|74.3
47	2	0.26|14.9|46.3
50	59	0.37|19.06|1
39	3	0.8|13.27|1
47	55	0.91|11.69|27.0
24	42	1.0|30.9|28.9
13	31	1.09|8.09|64.7
14	43	1.16|13.5|1
55	36	1.27|26.95|27.3
2	7	1.29|2.53|1
54	22	1.48|6.04|28.5
40	23	1.78|5.78|1
27	6	1.85|15.76|1
17	10	1.87|22.41|78.5
5	2	2.0|14.77|14.2
22	20	2.25|20.09|1
47	17	2.26|6.66|230.2
55	12	3.06|18.71|13.5
58	47	3.28|13.27|54.7
48	26	3.75|17.7|1
40	35	3.88|7.11|204.0
13	18	4.33|29.85|62.3
45	51	4.69|15.9|15.4
12	27	4.94|5.68|1
52	15	5.06|16.71|55.5
12	55	5.17|11.66|13.5
54	2	5.23|12.5|28.9
34	35	5.79|9.64|1
5	33	5.99|16.9|40.8
35	1	6.63|13.25|1
30	37	6.86|20.63|1
8	5	6.9|17.49|12.3
11	55	7.02|13.48|1
44	25	7.02|18.44|1
18	61	7.28|9.45|1
15	25	7.28|20.2|1
32	9	7.37|11.0|33.1
12	16	7.5|9.05|79.3
12	6	7.76|11.6|85.8
29	8	9.11|9.55|46.6
47	49	9.22|11.26|38.9
36	2	9.3|18.37|30.8
5	19	9.46|22.52|19.2
31	50	9.46|24.27|33.1
54	8	9.55|19.91|16.5
55	53	9.91|21.84|1
21	46	9.96|14.64|1
27	32	10.6|18.6|40.8
2	33	10.72|15.84|1
47	18	11.1|28.95|88.9
35	52	11.31|24.73|49.6
56	33	11.47|13.17|1
20	60	11.7|12.67|1
11	17	12.14|20.31|217.0
47	29	12.85|25.89|164.4
9	17	13.22|27.61|47.7
12	2	13.55|36.58|77.4
2	28	14.1|28.68|1
22	2	17.06|19.1|1
2	60	17.7|22.63|11.2
23	52	18.1|21.61|29.6
33	51	19.46|19.62|14.2
38	41	20.63|21.12|1
52	41	21.89|26.41|1
