11	2	0.08|23.9|1
35	4	0.19|7.29|13.9
35	15	0.56|8.6|49.6
8	17	1.01|4.43|1
20	28	1.13|2.43|42.0
27	12	1.14|16.67|1
2	3	1.52|3.94|59.3
5	10	1.57|14.4|47.7
33	34	1.62|8.13|27.7
8	22	1.74|10.38|1
22	31	1.9|3.37|1
25	32	1.94|8.56|43.1
19	18	2.57|4.84|14.2
16	8	3.58|4.69|12.3
16	18	3.89|14.82|27.3
30	29	4.62|18.96|59.7
30	1	5.25|15.63|102.0
5	9	5.53|7.34|47.0
23	13	6.14|7.08|1
6	21	6.21|27.86|99.3
26	20	6.38|10.58|118.7
3	27	6.84|19.5|63.9
24	14	8.64|14.82|59.2
22	8	10.28|14.88|1
20	5	10.28|22.0|28.8
18	19	10.48|16.57|14.2
35	7	20.47|23.46|1
