4	13	0.23|3.3|1
2	35	0.48|15.68|1
10	38	0.57|21.48|1
29	15	0.61|4.33|1
14	9	0.72|15.14|39.7
33	31	1.19|27.1|1
11	29	1.31|2.92|16.5
36	46	1.69|15.66|1
9	22	1.72|19.13|140.1
41	27	1.87|14.64|1
19	34	2.1|17.06|1
3	37	2.11|18.23|1
21	26	2.13|32.23|40.8
12	11	2.29|14.72|108.6
32	45	2.92|12.52|1
1	39	3.23|6.39|47.3
50	1	3.26|8.61|1
26	7	3.29|16.54|33.1
2	52	3.3|19.36|15.4
43	30	3.56|10.79|15.4
17	5	3.66|11.82|1
28	3	4.0|11.09|1
23	42	4.22|19.23|1
3	6	4.4|6.94|1
50	47	4.52|22.59|74.7
44	1	4.67|13.34|24.6
7	12	4.72|21.14|47.7
40	16	4.83|7.93|1
32	50	4.91|24.02|1
52	23	6.06|23.23|1
44	49	6.32|6.48|46.6
1	11	6.33|12.83|1
16	24	7.49|10.49|1
36	40	7.49|13.61|1
31	1	8.48|12.72|26.9
29	51	9.41|13.95|36.2
20	16	9.69|20.15|1
49	6	10.2|11.29|1
22	37	10.84|12.69|28.5
32	48	11.13|14.97|1
20	25	11.57|23.87|1
1	14	13.05|16.85|13.5
44	14	13.14|17.26|11.9
32	18	13.67|26.64|1
51	23	14.18|19.9|1
8	30	16.82|24.83|38.4
10	3	17.59|28.08|1
35	25	18.67|24.73|1
37	24	25.66|31.0|1
