38	41	0.06|23.39|51.1
41	1	0.1|9.86|1
38	9	1.29|18.25|13.5
45	12	1.36|1.58|13.1
41	11	1.47|6.2|99.9
3	27	1.71|16.37|1
17	7	1.77|16.11|1
6	22	1.84|2.78|53.1
41	29	2.19|14.46|1
30	6	2.28|9.94|1
39	33	2.57|23.7|13.9
4	41	2.7|11.82|127.7
36	46	3.09|18.25|1
12	22	3.43|26.21|42.8
43	6	3.72|8.09|1
41	35	3.97|5.26|66.2
8	11	4.0|24.38|14.6
41	44	4.38|8.79|26.2
28	35	4.81|7.63|30.0
3	23	5.35|8.53|22.7
4	37	5.77|5.96|1
11	35	5.81|25.33|66.2
5	39	6.0|24.62|13.9
22	6	6.24|16.34|24.3
4	38	6.26|8.43|1
26	19	6.27|8.9|13.9
3	18	7.32|11.87|1
38	22	8.06|19.81|42.0
40	20	8.34|20.76|95.1
41	22	8.69|14.44|62.4
12	9	8.94|13.7|15.0
41	25	9.24|23.09|1
27	31	9.81|26.34|13.9
32	7	10.03|16.0|1
21	20	10.85|39.13|60.9
37	41	11.14|11.78|1
43	14	11.15|12.72|141.2
41	42	11.25|28.72|14.6
41	12	11.92|24.67|31.2
12	16	11.96|16.64|13.5
27	13	12.69|22.62|1
41	15	13.25|15.79|1
41	34	13.88|14.86|15.8
4	10	15.25|27.1|67.3
32	16	17.15|26.96|1
27	8	17.41|29.41|10.4
4	22	18.98|21.67|64.9
22	7	20.84|26.72|84.6
39	2	23.3|24.74|73.9
24	39	23.77|24.14|15.8
