11	23	0.04|16.92|1
145	158	0.08|4.79|1
124	76	0.08|7.21|1
48	70	0.09|7.84|1
143	81	0.12|2.77|1
45	130	0.22|4.74|1
89	118	0.23|23.08|1
45	78	0.3|7.07|1
140	125	0.31|16.57|1
111	134	0.34|3.49|1
113	19	0.41|7.46|1
125	149	0.43|4.75|1
71	62	0.45|2.81|1
90	48	0.45|10.25|1
71	15	0.48|26.01|1
40	39	0.49|4.33|1
32	58	0.5|3.3|1
111	89	0.5|5.88|1
68	151	0.51|1.69|13.9
54	42	0.51|15.42|1
144	128	0.54|14.53|1
153	144	0.61|10.23|1
150	25	0.63|17.06|1
67	132	0.68|21.27|1
16	101	0.89|9.99|1
80	23	0.92|10.95|1
107	79	0.93|29.68|1
2	124	0.95|4.62|1
48	71	1.06|9.02|1
60	22	1.13|29.94|1
56	157	1.15|5.71|1
144	119	1.17|5.44|1
77	115	1.23|9.56|1
82	28	1.27|26.9|1
49	140	1.28|2.81|1
63	66	1.33|5.8|1
103	115	1.44|11.92|1
15	8	1.71|16.73|13.5
9	103	1.85|13.83|1
30	114	1.95|14.05|1
3	98	2.13|10.96|1
155	105	2.27|11.04|1
73	115	2.3|11.48|1
55	61	2.31|20.25|1
59	130	2.33|6.96|30.7
46	94	2.35|2.96|1
85	24	2.41|11.29|1
56	139	2.41|32.3|1
17	64	2.45|4.53|1
48	53	2.46|24.74|1
117	137	2.53|10.65|1
111	133	2.55|24.74|1
149	49	2.61|4.98|1
56	10	2.78|5.22|1
4	121	2.84|10.04|1
143	36	2.88|3.91|1
45	88	3.0|30.0|1
71	157	3.2|10.56|1
60	152	3.23|15.08|1
130	8	3.28|23.88|27.7
139	31	3.37|8.78|1
114	157	3.44|14.55|1
131	81	3.55|9.99|1
6	78	3.71|11.9|1
108	91	3.71|20.36|1
122	92	3.84|15.07|1
2	141	3.87|5.49|1
98	112	3.96|7.68|54.7
71	8	4.01|8.07|1
110	107	4.13|5.24|1
154	77	4.13|15.24|1
49	47	4.16|11.65|1
147	77	4.23|12.67|1
86	115	4.29|11.44|1
113	40	4.33|12.04|1
93	84	4.41|7.39|1
149	47	4.48|6.1|1
119	78	4.53|6.43|1
138	143	4.65|15.69|1
116	79	5.1|5.15|1
146	151	5.12|8.6|16.2
59	54	5.23|6.66|1
134	118	5.25|17.15|1
70	93	5.35|25.44|151.0
80	72	6.02|14.96|1
56	130	6.08|10.92|1
102	146	6.24|24.56|1
99	135	6.28|13.26|1
113	37	6.29|6.66|1
38	77	6.46|14.85|1
161	97	6.54|9.33|1
128	104	6.54|9.91|1
113	4	6.64|8.67|1
71	43	6.82|11.61|1
7	73	6.83|8.32|1
35	72	6.87|10.77|1
141	81	7.09|22.56|1
142	41	7.14|12.74|1
36	138	7.17|10.09|1
71	15	7.27|9.95|1
18	74	7.31|22.28|1
15	151	7.4|13.76|1
31	115	7.55|11.12|1
71	156	7.59|23.78|1
48	110	7.6|20.45|1
159	48	7.81|16.41|1
133	118	8.02|13.35|1
154	31	8.03|14.06|1
95	46	8.21|8.95|1
114	74	8.31|28.03|1
155	83	8.43|11.37|1
56	65	8.49|17.31|1
44	100	8.53|14.58|1
75	89	8.63|17.64|1
63	69	8.75|23.02|1
12	20	8.76|14.6|1
43	50	8.89|10.16|52.0
107	159	9.0|12.23|1
42	160	9.01|17.57|1
141	2	9.28|11.56|1
48	12	9.36|18.98|1
57	61	9.75|26.09|1
71	129	10.1|18.89|1
96	31	10.24|20.28|1
6	127	10.27|20.99|1
87	62	10.28|11.85|1
44	106	10.36|24.57|1
27	60	10.58|18.62|1
136	61	10.69|21.47|1
1	74	10.71|11.09|1
112	26	10.79|16.92|1
154	103	10.81|13.35|1
126	134	11.09|25.15|1
19	121	11.26|14.28|1
63	5	11.41|23.08|1
154	79	11.43|17.07|1
123	86	11.64|18.5|1
51	133	11.71|15.87|1
48	65	11.81|14.11|1
10	52	12.12|18.86|1
154	86	12.2|33.35|1
48	161	12.21|22.63|1
147	79	12.57|13.3|1
29	17	12.6|19.49|1
56	67	12.81|13.42|1
13	61	12.97|18.55|1
29	14	13.83|25.75|1
34	86	14.43|14.75|1
56	143	14.61|26.16|1
157	59	14.69|20.96|13.9
79	115	15.38|20.09|1
5	63	16.78|17.97|1
33	120	17.06|18.87|1
155	109	17.29|22.95|1
124	81	17.4|30.07|1
71	59	17.84|28.13|1
138	149	17.91|30.23|1
61	64	18.05|31.07|1
120	147	19.24|20.66|1
1	90	20.34|32.5|1
37	139	20.77|33.43|1
47	36	21.79|22.12|1
148	21	22.7|31.54|1
37	148	25.7|28.14|1
