104	83	0.07|17.13|1
60	21	0.12|15.44|86.3
95	85	0.14|4.34|18.1
14	7	0.35|9.21|28.9
91	53	0.41|19.82|17.7
101	53	0.47|11.3|1
59	100	0.58|15.87|1
53	12	0.65|20.94|1
18	4	0.94|11.55|86.6
3	85	1.06|4.1|199.7
2	101	1.09|4.4|1
25	100	1.16|14.34|1
1	60	1.34|21.41|15.4
1	7	1.45|7.43|1
28	55	1.46|16.83|1
53	14	1.56|5.78|25.4
32	90	1.58|9.4|1
5	85	1.71|15.38|1
27	1	1.76|13.39|13.1
56	106	1.96|24.52|1
41	34	2.04|23.58|1
108	104	2.1|4.61|16.5
67	69	2.11|16.98|101.3
6	69	2.29|20.6|15.8
69	30	2.37|7.47|1
97	85	2.47|19.88|191.0
107	50	2.71|13.23|39.3
104	15	2.73|16.58|1
96	104	2.79|16.88|1
11	53	2.79|25.47|1
42	78	2.93|9.54|1
30	87	3.05|4.3|1
47	1	3.06|14.49|80.1
83	25	3.09|27.76|1
27	14	3.11|7.43|34.6
6	106	3.2|5.46|12.7
64	1	3.24|22.23|1
15	59	3.25|14.1|1
58	1	3.48|9.64|28.5
30	7	3.49|14.08|1
52	20	3.68|5.03|143.6
4	69	3.9|14.11|31.2
107	88	3.97|12.78|17.7
53	103	4.27|11.05|1
28	11	4.27|19.0|1
18	60	4.44|16.28|75.5
111	14	4.45|8.72|1
5	53	4.55|11.61|10.8
102	72	4.56|13.52|1
88	85	4.56|30.22|1
63	46	4.64|6.33|1
24	3	4.66|15.86|1
68	72	4.77|20.34|1606.0
46	53	5.06|11.85|1
60	53	5.06|20.26|16.9
48	20	5.14|20.01|42.4
60	14	5.23|9.51|86.2
96	80	5.24|5.53|1
85	53	5.57|15.92|117.1
16	45	5.64|19.0|45.4
86	4	6.14|12.07|1
85	18	6.22|10.81|50.7
21	4	6.44|31.09|24.3
62	93	6.45|13.71|1
4	57	6.6|31.07|105.9
70	75	6.67|13.24|1
33	1	6.8|9.86|82.4
37	39	6.86|36.75|1
75	74	6.98|8.34|1
84	98	7.01|19.34|25.8
105	4	7.2|18.84|35.0
36	18	7.4|13.5|1
90	100	7.43|22.63|1
81	32	7.83|21.4|1
62	76	7.84|13.94|1
53	53	7.9|25.87|649.0
58	14	8.07|24.02|22.7
92	1	8.11|10.44|109.8
22	69	8.14|13.77|81.5
40	43	8.38|23.71|1
85	10	8.48|25.54|44.6
23	21	8.52|11.31|1
103	71	8.56|18.04|1
29	8	8.86|15.03|45.4
110	35	8.99|17.48|1
74	31	9.11|13.11|1
17	61	9.14|10.62|1
1	51	9.35|18.76|16.9
20	62	9.6|12.05|13.5
67	1	9.66|32.9|72.0
107	85	9.71|18.14|16.9
98	14	9.73|14.01|15.8
106	53	9.8|12.43|63.1
31	109	9.87|29.15|1
91	54	10.08|21.56|13.9
73	85	10.12|11.52|1
96	99	10.14|11.29|1
88	72	10.14|12.19|31.5
79	93	10.32|12.75|1
45	12	10.55|33.65|1
65	1	10.58|12.13|1
82	13	10.8|13.89|1
72	50	11.2|14.14|15.8
53	58	11.35|14.01|16.2
50	85	11.38|36.1|57.7
64	12	11.87|18.47|1
65	8	12.07|38.31|1
44	85	12.14|14.07|34.2
89	85	12.26|14.24|1
53	64	12.58|23.7|15.8
72	70	13.11|21.79|15.4
53	66	13.46|22.09|1
71	9	13.47|32.68|1
111	60	13.71|22.87|1
85	85	13.73|28.47|1718.0
1	104	13.83|23.02|31.6
26	104	14.24|16.03|1
77	7	14.35|31.23|16.2
104	94	14.88|40.28|50.5
111	1	15.69|20.19|1
6	85	15.82|29.08|1
20	49	16.12|20.83|28.4
73	93	16.16|18.99|1
61	38	16.76|33.5|1
19	94	17.34|23.06|33.1
33	8	17.61|22.02|53.1
94	7	18.38|21.38|46.2
13	45	21.37|39.0|37.3
98	1	21.72|23.19|117.0
