33	5	0.22|15.61|1
36	29	0.36|15.56|104.3
29	3	0.38|15.32|56.5
32	11	0.67|16.49|1
23	35	1.21|5.59|1
29	22	1.51|4.33|85.1
12	9	1.86|9.41|78.5
24	1	2.03|11.69|73.5
10	18	2.17|3.47|42.7
5	39	2.66|5.77|81.6
21	37	2.86|17.12|1
29	38	3.09|11.04|1
25	8	3.22|22.1|33.1
10	17	3.7|41.05|1
4	16	3.96|5.13|1
6	34	3.97|7.16|31.1
15	14	4.25|10.12|15.4
36	20	4.41|20.05|69.2
5	41	5.57|28.88|48.9
5	24	5.6|11.75|59.3
6	10	6.7|20.0|27.4
43	31	6.83|10.6|1
23	42	7.1|13.88|1
30	20	7.58|23.77|1
27	2	8.53|19.82|1
15	19	9.78|10.6|65.4
27	35	9.96|14.01|11.9
15	18	11.28|16.1|236.0
16	13	11.38|11.6|1
38	21	11.43|23.71|1
8	12	11.75|13.95|47.7
29	34	11.8|15.85|74.6
23	26	11.91|24.4|1
6	7	13.29|15.09|1
40	12	16.45|18.05|1
18	15	17.39|19.55|236.0
27	28	18.55|33.64|1
21	25	19.87|27.37|40.8
