24	20	0.48|7.15|1
3	15	0.77|4.19|1
13	31	0.88|7.31|1
4	3	0.96|5.03|1
22	32	1.14|18.2|1
13	4	1.16|12.64|1
12	14	1.23|7.95|1
23	30	1.34|9.52|1
6	28	1.35|8.66|1
30	5	1.63|16.58|1
9	22	2.22|6.96|1
28	11	3.04|26.3|1
12	33	3.26|13.05|1
30	7	3.45|11.98|1
30	10	4.02|8.7|15.4
34	8	4.04|14.56|1
6	30	4.22|23.79|1
15	16	4.24|7.22|1
19	13	4.4|8.47|1
14	30	4.4|17.01|1
24	35	4.55|8.58|1
16	28	5.24|16.17|1
30	34	5.71|9.95|1
33	27	6.39|37.77|1
12	22	6.6|14.23|1
10	12	6.79|15.64|1
28	30	7.28|13.26|13.5
36	33	7.29|8.62|1
13	34	7.67|27.26|1
30	21	8.05|12.02|38.1
25	22	8.06|14.84|1
5	1	8.44|24.49|1
31	14	8.81|15.38|1
30	16	8.93|12.23|1
37	26	9.19|17.35|1
36	34	10.04|10.88|1
24	29	10.29|12.56|1
27	23	13.7|18.45|1
8	33	13.85|22.95|1
26	9	14.63|16.98|1
36	10	14.82|15.3|1
11	33	15.15|23.06|1
20	18	16.36|37.5|94.7
18	26	16.64|24.39|29.2
36	17	16.67|20.65|1
28	7	16.72|29.02|1
21	28	18.36|22.01|31.1
25	1	19.04|26.16|1
29	12	19.37|26.82|1
35	37	23.6|28.72|1
17	2	29.52|33.02|1
