5	21	0.06|15.68|186.0
14	35	0.56|9.78|1
38	3	1.02|11.84|13.1
26	4	1.18|3.3|1
33	23	1.29|15.8|1
5	17	1.74|7.5|1
6	32	2.05|7.91|1
22	40	2.31|21.5|1
26	12	2.34|17.05|1
9	5	2.36|21.42|1
19	9	2.57|11.63|1
11	37	2.84|20.04|1
42	16	3.05|23.85|1
8	37	3.08|23.94|60.9
21	11	3.2|21.48|1
5	25	3.73|12.31|1
12	2	3.91|13.54|1
26	25	4.33|4.37|1
10	33	5.05|11.0|1
37	28	5.22|11.96|1
4	20	5.56|13.43|1
19	27	5.61|11.78|1
23	41	6.45|27.58|29.3
25	38	7.17|7.26|1
20	14	7.23|8.72|1
37	31	7.23|11.16|1
34	41	7.8|14.61|15.8
36	39	7.96|17.46|1
15	34	8.23|8.55|1
13	5	8.73|21.53|34.3
17	21	9.0|12.04|1
3	10	9.1|15.7|1
35	15	9.44|11.25|1
27	6	9.69|10.1|15.0
25	3	10.47|21.7|1
18	19	10.63|32.4|1
19	13	10.74|24.5|1
41	29	11.73|19.29|1
13	6	12.34|16.6|43.8
40	36	12.49|15.37|1
19	8	12.68|13.48|1
1	40	12.78|17.23|1
43	10	13.14|13.93|1
11	8	13.97|16.36|1
24	41	14.16|22.73|1
19	21	15.63|20.49|1
7	32	15.68|24.48|1
19	17	16.28|19.34|1
12	43	17.99|23.97|1
2	30	18.01|20.3|1
23	42	21.71|28.9|1
